cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,2.95,94.63,MP1100_Ktngi,Katangi_Jabalpur,Jabalpur,Narmada,Hiran,23.426666666666662,79.8175,441067015,6,35037.212388642554,73.779,0.1739,True,0.3051,3
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,2.95,94.63,MP1100_Pangr,Panagar_Narsinghpur,Narsimhapur,Narmada,Dudhi,22.835277777777776,78.60333333333334,441043628,6,21128.049975171427,76.21,0.0769,True,0.2578,4
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,2.95,94.63,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,330.174,0.4444,True,0.2556,5
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0.0,93.72,MP1100_Khrni,Khirhani_Jabalpur,Jabalpur,Narmada,Heran,23.416666666666664,80.26666666666667,441045000,6,52723.02626335636,10.559,0.2353,True,0.6743,1
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0.0,93.72,MP1100_Sehra,Sihora_Jabalpur,Jabalpur,Narmada,Hiran,23.44055555555556,80.09055555555554,441045000,6,44226.15429169239,11.938,0.1875,True,0.65,2
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0.0,93.72,MP1100_Ktngi,Katangi_Jabalpur,Jabalpur,Narmada,Hiran,23.426666666666662,79.8175,441067015,6,35037.212388642554,39.215,0.3636,True,0.5616,3
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0.0,93.72,MP1100_Slwda,Saliwada_Jabalpur,Jabalpur,Narmada,Gour,23.11805555555556,80.01222222222222,441011977,6,7481.550363052474,45.069,0.2353,True,0.4845,4
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0.0,93.72,MP0286_Ghtkw,Ghatkhirawa,Katni,Ganga,Son,23.870833333333334,80.42194444444443,441040829,6,69329.62585081163,48.528,0.3448,False,0.4038,5
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,0.21,48.14,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,45.334,0.4444,True,0.5562,1
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,0.21,48.14,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,68.961,0.3333,True,0.3874,2
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,0.21,48.14,MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175,92.748,0.4286,True,0.2899,3
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,0.21,48.14,MP1100_Nrngr,Noornagar,Raisen,Narmada,Tenduni,23.11138888888889,78.40277777777777,441050508,6,14617.204139428162,240.7,0.4706,True,0.2647,4
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,0.21,48.14,MP1100_Brtla,Behratola_Mandla,Mandla,Narmada,Burhner,22.5425,80.87,440962463,6,56038.311650724536,456.172,0.4348,True,0.2522,5
